,HipID1,HipID2,HipID3,theta1,theta2,phi
12766,96957,96931,97141,0.006574826151905887,0.02598104855335964,0.5695951269866186
12767,96977,97307,96804,0.01624864361693506,0.01937151901707727,2.5012640537912945
12768,96979,97144,97229,0.010243142375292462,0.01837040114179711,1.4457381534453007
12769,96985,97050,96856,0.006692786039509529,0.009384504995104704,1.1127974632571007
12770,96988,97150,96683,0.007678315179322305,0.019379608505637705,2.45546270014696
12771,97001,97151,96907,0.006219795767231239,0.008783470734526599,1.9392409888326638
12772,97018,96887,96907,0.0047383547834963175,0.0058260626659840265,0.785076863102103
12773,97023,97319,96801,0.016848980498189507,0.018217469372218045,2.730241530545624
12774,97028,96888,96804,0.006012933334438966,0.015728790365006625,0.5535960383406517
12775,97029,97376,96517,0.015328704650777574,0.020108170467037,2.782253754883122
12776,97033,97070,96395,0.017029654190305152,0.02486656049573008,0.8324995288461984
12777,97050,96985,96856,0.006692786039509529,0.008793193627327164,1.2773568286973545
12778,97063,96950,96736,0.012225195622755492,0.016384918901448425,1.5320975968456656
12779,97067,96932,97742,0.016547674677110963,0.02843276415259631,1.7597651971068247
12780,97070,97033,96395,0.017029654190305152,0.018393838977963643,1.554814040024108
12781,97077,97319,97402,0.016076116227004958,0.017472648744110243,0.3685580711520307
12782,97081,97001,97151,0.018542289323177318,0.018763823851428323,0.33480665024988693
12783,97087,97142,97295,0.005209585059041002,0.011993701845811154,1.6831040098060535
12784,97091,96903,97420,0.009062993307902367,0.020334583544407536,1.9591250229611845
12785,97101,97144,96979,0.014094327850907416,0.020546645911837965,0.47187111624538286
12786,97118,97376,97228,0.021411407275199475,0.022573868525955044,2.3892364022380694
12787,97122,96662,97326,0.014395646500543466,0.016153225526674968,0.8465747739502018
12788,97131,98032,97749,0.035449553158128165,0.038884414318063214,1.0253567378884723
12789,97135,96936,97365,0.009366829935591783,0.011876612446876818,2.833663249608981
12790,97139,97141,97431,0.0012698175914872415,0.015402167455097161,1.654874669005887
